indicator,indicator_group,observations,first_year,last_year,last_actual_value,annual_historical_slope,residual_standard_error,event_annual_adjustment,baseline_2030,optimistic_2030,conservative_2030,lower_95_2030,upper_95_2030,value_type
Account Ownership Gender Gap,Account ownership,2,2021,2024,18.0,-0.6666666666666677,1.0,0.0,13.999999999999982,13.999999999999982,13.999999999999982,8.814327430313384,19.18567256968658,gap_pp
Account Ownership Rate,Account ownership,4,2014,2024,49.0,2.706896551724137,3.536752845429712,0.0,67.77586206896551,67.77586206896551,67.77586206896551,49.43541985265963,86.11630428527138,percentage
Fayda Digital ID Enrollment,Fayda Digital ID Enrollment,2,2024,2025,13500000.0,5499999.999999997,1100000.0,0.0,40999999.999999985,40999999.999999985,40999999.999999985,35718900.11455946,46281099.88544051,count
Mobile Money Account Rate,Digital payment usage,2,2021,2024,9.45,1.5833333333333328,1.0,0.0,18.949999999999992,18.949999999999992,18.949999999999992,13.764327430313394,24.13567256968659,percentage
